doc_id,word_count,token_count,sentence_count,char_count,char_count_no_spaces,avg_words_per_sentence,avg_syllables_per_word,flesch_kincaid_grade,gunning_fog_index,lexical_density,lexical_diversity,keyword_density,sentiment_polarity,named_entity_count,distinct_entity_types,most_frequent_entity,most_frequent_entity_count
Rhamdella_30cad2f1e4,70,71,3,689,567,23.333333333333332,2.2714285714285714,20.312857142857144,17.904761904761905,0.8428571428571429,0.6857142857142857,0.3,,33,6,Rhamdella,9
Rhamdia_1cddf33ba6,216,212,13,2060,1729,16.615384615384617,2.259259259259259,17.549259259259262,14.794301994301996,0.8379629629629629,0.5185185185185185,0.26851851851851855,,94,7,Rhamdia,22
Rhamdia_zongolicensis_9c09776064,171,123,11,1166,983,15.545454545454545,1.9532163742690059,13.520680489101544,13.937480063795853,0.6491228070175439,0.5497076023391813,0.14619883040935672,,18,5,Rhamdia,6
Rhamdioglanis_2e4f3750b6,40,30,2,317,269,20.0,2.15,17.580000000000002,16.0,0.675,0.825,0.25,,11,6,Rhamdioglanis,2
Rhamdiopsis_337aa3cdb1,48,38,3,389,325,16.0,2.0208333333333335,14.495833333333334,13.9,0.6666666666666666,0.75,0.25,,15,8,Rhamdiopsis,3
Rhamphochromis_brevis_c852b5400f,54,30,2,308,255,27.0,1.6481481481481481,14.38814814814815,13.762962962962963,0.5185185185185185,0.6666666666666666,0.18518518518518517,,6,3,Rhamphochromis,3
Rhamphochromis_e280aff594,230,177,12,1685,1416,19.166666666666668,1.9086956521739131,14.40760869565218,13.231884057971016,0.6434782608695652,0.5478260869565217,0.14347826086956522,,54,8,Rhamphochromis,12
Rhamphochromis_esox_c09e49df38,50,34,4,301,244,12.5,1.54,7.457000000000001,8.200000000000001,0.52,0.72,0.14,,8,4,Rhamphochromis,1
Rhamphochromis_ferox_f9b5024cdb,44,29,3,265,218,14.666666666666666,1.6363636363636365,9.439090909090911,9.503030303030304,0.5681818181818182,0.75,0.18181818181818182,,7,7,Rhamphochromis,2
Rhamphochromis_longiceps_02846f1428,152,98,9,911,751,16.88888888888889,1.5526315789473684,9.317719298245613,11.755555555555556,0.5460526315789473,0.6052631578947368,0.08552631578947369,,12,6,Rhamphochromis,3
Rhamphochromis_lucius_b1b8b446d9,75,47,4,450,371,18.75,1.6266666666666667,10.917166666666667,10.700000000000001,0.5333333333333333,0.6266666666666667,0.16,,10,4,Rhamphochromis,4
Rhamphochromis_macrophthalmus_d0fb824609,71,48,4,456,377,17.75,1.647887323943662,10.777570422535213,11.043661971830986,0.5352112676056338,0.647887323943662,0.15492957746478872,,12,4,Rhamphochromis,3
Rhamphochromis_woodi_76cbe846fb,74,54,4,472,390,18.5,1.6486486486486487,11.079054054054055,11.724324324324325,0.5540540540540541,0.7027027027027027,0.13513513513513514,,12,4,Rhamphochromis,2
Rhamphotheca_cc70f022e7,5486,3613,244,33547,27910,22.483606557377048,1.600984323733139,12.07022157742809,14.913967595608495,0.5745534086766314,0.2821728034998177,0.05997083485235144,,100,13,two,12
Rhapsody_Rabbit_0c1d1cfb7c,704,503,35,4755,3998,20.114285714285714,1.8309659090909092,13.859969155844158,15.886623376623376,0.6349431818181818,0.5369318181818182,0.056818181818181816,,74,10,Bugs,9
